Velocity,Repitition,PitchIndex,Pitch,Time,Delete
Rf,1,0,53,F3,29,
Rf,1,0,53,F3,34,
Rf,1,0,53,F3,38,
Rf,1,0,53,F3,42,
Rf,1,0,53,F3,46,
Rf,1,0,53,F3,50,
Rf,1,0,53,F3,54,
Rf,1,0,53,F3,58,
Rf,1,0,53,F3,62,
Rf,1,0,53,F3,66,
Rf,1,0,53,F3,70,
Rf,1,0,53,F3,74,
Rf,1,0,53,F3,78,
Rf,1,0,53,F3,82,
Rf,1,0,53,F3,86,
