Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,5,
f,1,0,13,C#0,16,
f,1,0,14,D0,27,
f,1,0,15,D#0,38,
f,1,0,16,E0,49,d
f,1,0,16,E0,59,
f,1,0,17,F0,70,
f,1,0,18,F#0,81,
f,1,0,19,G0,92,
f,1,0,20,G#0,103,
f,1,0,21,A0,114,
