Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,38,D2,3,
f,1,0,39,D#2,17,
f,1,0,40,E2,28,
f,1,0,41,F2,39,
f,1,0,42,F#2,50,
f,1,0,43,G2,61,
