Velocity,Repitition,Sustain,MidiPitch,Pitch,Time,Delete
mp,2,-0.5,37,C#2,11,
f,1,-0.5,37,C#2,42,
f,2,-0.5,37,C#2,88,
pp,1,-0.5,38,D2,142,
pp,2,-0.5,38,D2,170,
mp,1,-0.5,38,D2,194,
mp,2,-0.5,38,D2,227,
f,1,-0.5,38,D2,262,
f,2,-0.5,38,D2,292,
pp,1,-0.5,39,D#2,402,d
pp,1,-0.5,39,D#2,409,
pp,2,-0.5,39,D#2,431,
mp,1,-0.5,39,D#2,453,
mp,2,-0.5,39,D#2,476,
f,1,-0.5,39,D#2,499,
f,2,-0.5,39,D#2,530,
pp,1,-0.5,40,E2,580,d
pp,1,-0.5,40,E2,589,
pp,2,-0.5,40,E2,610,
mp,1,-0.5,40,E2,630,
mp,2,-0.5,40,E2,655,
f,1,-0.5,40,E2,687,
f,2,-0.5,40,E2,714,
pp,1,-0.5,41,F2,758,
pp,2,-0.5,41,F2,780,
mp,1,-0.5,41,F2,808,
mp,2,-0.5,41,F2,834,
f,1,-0.5,41,F2,862,
f,2,-0.5,41,F2,894,
pp,1,-0.5,42,F#2,945,
pp,2,-0.5,42,F#2,969,
mp,1,-0.5,42,F#2,991,
mp,2,-0.5,42,F#2,1018,
f,1,-0.5,42,F#2,1040,
f,2,-0.5,42,F#2,1061,
pp,1,-0.5,43,G2,1116,
pp,2,-0.5,43,G2,1139,
mp,1,-0.5,43,G2,1158,
