Velocity,Repitition,Sustain,MidiPitch,Pitch,Time,Delete
mp,2,-0.5,59,B3,3298,
f,1,-0.5,59,B3,3319,
f,2,-0.5,59,B3,3340,
pp,1,-0.5,60,C4,3355,
pp,2,-0.5,60,C4,3356,
pp,1,-0.5,60,C4,3384,d
pp,1,-0.5,60,C4,3403,
pp,2,-0.5,60,C4,3420,
mp,1,-0.5,60,C4,3435,d
mp,1,-0.5,60,C4,3440,
mp,2,-0.5,60,C4,3459,
f,1,-0.5,60,C4,3480,
f,2,-0.5,60,C4,3500,
pp,1,-0.5,61,C#4,3643,
pp,2,-0.5,61,C#4,3659,
mp,1,-0.5,61,C#4,3674,
mp,2,-0.5,61,C#4,3693,
f,1,-0.5,61,C#4,3715,
f,2,-0.5,61,C#4,3807,
pp,1,-0.5,62,D4,3847,
pp,2,-0.5,62,D4,3863,
mp,1,-0.5,62,D4,3880,
mp,2,-0.5,62,D4,3898,
f,1,-0.5,62,D4,3917,
f,2,-0.5,62,D4,3938,
pp,1,-0.5,63,D#4,3969,
pp,2,-0.5,63,D#4,3980,
mp,1,-0.5,63,D#4,3993,
mp,2,-0.5,63,D#4,4012,
f,1,-0.5,63,D#4,4032,
f,2,-0.5,63,D#4,4052,
pp,1,-0.5,64,E4,4080,
pp,2,-0.5,64,E4,4095,
mp,1,-0.5,64,E4,4109,
mp,2,-0.5,64,E4,4128,
f,1,-0.5,64,E4,4145,
f,2,-0.5,64,E4,4163,
pp,1,-0.5,65,F4,4187,
pp,2,-0.5,65,F4,4205,
mp,1,-0.5,65,F4,4223,
mp,2,-0.5,65,F4,4242,
f,1,-0.5,65,F4,4260,
f,2,-0.5,65,F4,4282,
pp,1,-0.5,66,F#4,4310,
pp,2,-0.5,66,F#4,4325,
mp,1,-0.5,66,F#4,4342,
mp,2,-0.5,66,F#4,4360,
f,1,-0.5,66,F#4,4380,
f,2,-0.5,66,F#4,4401,
pp,1,-0.5,67,G4,4429,
pp,2,-0.5,67,G4,4445,
mp,1,-0.5,67,G4,4460,
mp,2,-0.5,67,G4,4475,
f,1,-0.5,67,G4,4490,
f,2,-0.5,67,G4,4510,
pp,1,-0.5,68,G#4,4538,
pp,2,-0.5,68,G#4,4551,
mp,1,-0.5,68,G#4,4564,
mp,2,-0.5,68,G#4,4580,
f,1,-0.5,68,G#4,4599,
f,2,-0.5,68,G#4,4616,
pp,1,-0.5,69,A4,4669,
pp,2,-0.5,69,A4,4684,
mp,1,-0.5,69,A4,4700,
mp,2,-0.5,69,A4,4717,
f,1,-0.5,69,A4,4734,
f,2,-0.5,69,A4,4752,
pp,1,-0.5,70,A#4,4784,
pp,2,-0.5,70,A#4,4800,
mp,1,-0.5,70,A#4,4819,
mp,2,-0.5,70,A#4,4837,
f,1,-0.5,70,A#4,4858,
f,2,-0.5,70,A#4,4881,
pp,1,-0.5,71,B4,4912,
pp,2,-0.5,71,B4,4929,
mp,1,-0.5,71,B4,4941,
mp,2,-0.5,71,B4,4957,
f,1,-0.5,71,B4,4973,
f,2,-0.5,71,B4,4990,
pp,1,-0.5,72,C5,5019,
pp,2,-0.5,72,C5,5033,
mp,1,-0.5,72,C5,5049,
mp,2,-0.5,72,C5,5068,
f,1,-0.5,72,C5,5084,
f,2,-0.5,72,C5,5104,
pp,1,-0.5,73,C#5,5131,
pp,2,-0.5,73,C#5,5145,
mp,1,-0.5,73,C#5,5161,
mp,2,-0.5,73,C#5,5177,
f,1,-0.5,73,C#5,5194,
f,2,-0.5,73,C#5,5212,
pp,1,-0.5,74,D5,5249,
pp,2,-0.5,74,D5,5264,d
pp,2,-0.5,74,D5,5275,
mp,1,-0.5,74,D5,5289,
mp,2,-0.5,74,D5,5305,
f,1,-0.5,74,D5,5319,
f,2,-0.5,74,D5,5335,
pp,1,-0.5,75,D#5,5358,
pp,2,-0.5,75,D#5,5370,
mp,1,-0.5,75,D#5,5381,
mp,2,-0.5,75,D#5,5396,
f,1,-0.5,75,D#5,5411,
f,2,-0.5,75,D#5,5427,
pp,1,-0.5,76,E5,5460,
pp,2,-0.5,76,E5,5470,
mp,1,-0.5,76,E5,5481,
mp,2,-0.5,76,E5,5496,
f,1,-0.5,76,E5,5509,
f,2,-0.5,76,E5,5524,
pp,1,-0.5,77,F5,5548,
pp,2,-0.5,77,F5,5559,
mp,1,-0.5,77,F5,5571,
mp,2,-0.5,77,F5,5584,
f,1,-0.5,77,F5,5597,
f,2,-0.5,77,F5,5611,
pp,1,-0.5,78,F#5,5635,d
pp,1,-0.5,78,F#5,5647,
pp,2,-0.5,78,F#5,5659,
mp,1,-0.5,78,F#5,5671,
mp,2,-0.5,78,F#5,5684,
f,1,-0.5,78,F#5,5697,
f,2,-0.5,78,F#5,5713,
pp,1,-0.5,79,G5,5736,
pp,2,-0.5,79,G5,5747,
mp,1,-0.5,79,G5,5759,
mp,2,-0.5,79,G5,5772,
f,1,-0.5,79,G5,5785,
f,2,-0.5,79,G5,5799,
pp,1,-0.5,80,G#5,5823,
pp,2,-0.5,80,G#5,5836,
mp,1,-0.5,80,G#5,5850,
mp,2,-0.5,80,G#5,5865,
f,1,-0.5,80,G#5,5881,
f,2,-0.5,80,G#5,5895,
pp,1,-0.5,81,A5,5920,
pp,2,-0.5,81,A5,5931,
mp,1,-0.5,81,A5,5943,
mp,2,-0.5,81,A5,5956,
f,1,-0.5,81,A5,5971,
f,2,-0.5,81,A5,5985,
pp,1,-0.5,82,A#5,6006,
pp,2,-0.5,82,A#5,6015,
mp,1,-0.5,82,A#5,6026,
mp,2,-0.5,82,A#5,6038,
f,1,-0.5,82,A#5,6050,
f,2,-0.5,82,A#5,6064,
pp,1,-0.5,83,B5,6089,
pp,2,-0.5,83,B5,6099,
mp,1,-0.5,83,B5,6109,
mp,2,-0.5,83,B5,6120,
f,1,-0.5,83,B5,6133,
f,2,-0.5,83,B5,6146,
pp,1,-0.5,84,C6,6166,
pp,2,-0.5,84,C6,6178,
mp,1,-0.5,84,C6,6187,d
mp,1,-0.5,84,C6,6195,
mp,2,-0.5,84,C6,6207,
f,1,-0.5,84,C6,6218,
f,2,-0.5,84,C6,6231,d
f,2,-0.5,84,C6,6254,
pp,1,-0.5,85,C#6,6271,
pp,2,-0.5,85,C#6,6281,
mp,1,-0.5,85,C#6,6291,d
mp,1,-0.5,85,C#6,6301,
mp,2,-0.5,85,C#6,6311,
f,1,-0.5,85,C#6,6322,
f,2,-0.5,85,C#6,6334,
pp,1,-0.5,86,D6,6349,
pp,2,-0.5,86,D6,6359,
mp,1,-0.5,86,D6,6368,
mp,2,-0.5,86,D6,6379,
f,1,-0.5,86,D6,6390,
f,2,-0.5,86,D6,6404,
pp,1,-0.5,87,D#6,6421,
pp,2,-0.5,87,D#6,6428,d
pp,2,-0.5,87,D#6,6435,
mp,1,-0.5,87,D#6,6442,
mp,2,-0.5,87,D#6,6451,
f,1,-0.5,87,D#6,6461,d
f,1,-0.5,87,D#6,6472,
f,2,-0.5,87,D#6,6483,
pp,1,-0.5,88,E6,6494,
pp,2,-0.5,88,E6,6504,
mp,1,-0.5,88,E6,6512,
mp,2,-0.5,88,E6,6523,
f,1,-0.5,88,E6,6533,
f,2,-0.5,88,E6,6544,
pp,1,-0.5,89,F6,6558,
pp,2,-0.5,89,F6,6567,
mp,1,-0.5,89,F6,6577,
mp,2,-0.5,89,F6,6587,
f,1,-0.5,89,F6,6598,
f,2,-0.5,89,F6,6609,
pp,1,-0.5,90,F#6,6621,
pp,2,-0.5,90,F#6,6629,
mp,1,-0.5,90,F#6,6635,
mp,2,-0.5,90,F#6,6644,
f,1,-0.5,90,F#6,6653,
f,2,-0.5,90,F#6,6664,
pp,1,-0.5,91,G6,6677,
pp,2,-0.5,91,G6,6684,
mp,1,-0.5,91,G6,6691,
mp,2,-0.5,91,G6,6699,
f,1,-0.5,91,G6,6709,
f,2,-0.5,91,G6,6717,
pp,1,-0.5,92,G#6,6728,
pp,2,-0.5,92,G#6,6734,
mp,1,-0.5,92,G#6,6740,
mp,2,-0.5,92,G#6,6749,
f,1,-0.5,92,G#6,6757,
f,2,-0.5,92,G#6,6767,
pp,1,-0.5,93,A6,6776,d
pp,1,-0.5,93,A6,6782,
pp,2,-0.5,93,A6,6788,
mp,1,-0.5,93,A6,6796,
mp,2,-0.5,93,A6,6803,
f,1,-0.5,93,A6,6811,
f,2,-0.5,93,A6,6820,
pp,1,-0.5,94,A#6,6829,
pp,2,-0.5,94,A#6,6835,
mp,1,-0.5,94,A#6,6840,
mp,2,-0.5,94,A#6,6848,
f,1,-0.5,94,A#6,6856,
f,2,-0.5,94,A#6,6866,
pp,1,-0.5,95,B6,6876,
pp,2,-0.5,95,B6,6882,
mp,1,-0.5,95,B6,6888,
mp,2,-0.5,95,B6,6894,
f,1,-0.5,95,B6,6902,
f,2,-0.5,95,B6,6910,d
f,2,-0.5,95,B6,6919,
pp,1,-0.5,96,C7,6929,
pp,2,-0.5,96,C7,6936,
mp,1,-0.5,96,C7,6941,
mp,2,-0.5,96,C7,6947,
f,1,-0.5,96,C7,6954,
f,2,-0.5,96,C7,6962,
pp,1,-0.5,97,C#7,6971,
pp,2,-0.5,97,C#7,6977,
mp,1,-0.5,97,C#7,6983,d
mp,1,-0.5,97,C#7,6989,
mp,2,-0.5,97,C#7,6996,
f,1,-0.5,97,C#7,7004,
f,2,-0.5,97,C#7,7011,
pp,1,-0.5,98,D7,7019,d
pp,1,-0.5,98,D7,7024,
pp,2,-0.5,98,D7,7030,
mp,1,-0.5,98,D7,7036,
mp,2,-0.5,98,D7,7043,d
mp,2,-0.5,98,D7,7050,
f,1,-0.5,98,D7,7058,
f,2,-0.5,98,D7,7070,
pp,1,-0.5,99,D#7,7078,
pp,2,-0.5,99,D#7,7083,
mp,1,-0.5,99,D#7,7088,
mp,2,-0.5,99,D#7,7094,
f,1,-0.5,99,D#7,7100,
f,2,-0.5,99,D#7,7107,
pp,1,-0.5,100,E7,7115,
pp,2,-0.5,100,E7,7120,
mp,1,-0.5,100,E7,7125,
mp,2,-0.5,100,E7,7131,
f,1,-0.5,100,E7,7138,
f,2,-0.5,100,E7,7144,
pp,1,-0.5,101,F7,7152,
pp,2,-0.5,101,F7,7157,
mp,1,-0.5,101,F7,7162,
mp,2,-0.5,101,F7,7168,
f,1,-0.5,101,F7,7174,d
f,1,-0.5,101,F7,7180,
f,2,-0.5,101,F7,7187,
pp,1,-0.5,102,F#7,7195,
pp,2,-0.5,102,F#7,7199,
mp,1,-0.5,102,F#7,7203,
mp,2,-0.5,102,F#7,7208,
f,1,-0.5,102,F#7,7213,
f,2,-0.5,102,F#7,7220,
pp,1,-0.5,103,G7,7227,
pp,2,-0.5,103,G7,7231,
mp,1,-0.5,103,G7,7235,
mp,2,-0.5,103,G7,7241,
f,1,-0.5,103,G7,7246,
f,2,-0.5,103,G7,7253,
pp,1,-0.5,104,G#7,7260,
pp,2,-0.5,104,G#7,7264,
mp,1,-0.5,104,G#7,7268,
mp,2,-0.5,104,G#7,7273,
f,1,-0.5,104,G#7,7278,
f,2,-0.5,104,G#7,7284,
pp,1,-0.5,105,A7,7290,
pp,2,-0.5,105,A7,7294,
mp,1,-0.5,105,A7,7298,
mp,2,-0.5,105,A7,7303,
f,1,-0.5,105,A7,7308,
f,2,-0.5,105,A7,7314,
pp,1,-0.5,106,A#7,7320,d
pp,1,-0.5,106,A#7,7325,
pp,2,-0.5,106,A#7,7329,
mp,1,-0.5,106,A#7,7333,
mp,2,-0.5,106,A#7,7337,
f,1,-0.5,106,A#7,7342,
f,2,-0.5,106,A#7,7348,
pp,1,-0.5,107,B7,7354,
pp,2,-0.5,107,B7,7358,d
pp,2,-0.5,107,B7,7363,
mp,1,-0.5,107,B7,7367,
mp,2,-0.5,107,B7,7371,
f,1,-0.5,107,B7,7376,
f,2,-0.5,107,B7,7382,
pp,1,-0.5,108,C8,7389,
pp,2,-0.5,108,C8,7393,d
pp,2,-0.5,108,C8,7397,
mp,1,-0.5,108,C8,7401,
mp,2,-0.5,108,C8,7406,
f,1,-0.5,108,C8,7411,
f,2,-0.5,108,C8,7417,
