Velocity,Repitition,Sustain,MidiPitch,Pitch,Time,Delete
pp,1,-0.5,37,C#2,8,
pp,2,-0.5,37,C#2,29,
mp,1,-0.5,37,C#2,50,
mp,2,-0.5,37,C#2,72,
f,1,-0.5,37,C#2,92,
f,2,-0.5,37,C#2,117,
pp,1,-0.5,38,D2,183,
pp,2,-0.5,38,D2,198,
mp,1,-0.5,38,D2,215,
mp,2,-0.5,38,D2,247,
f,1,-0.5,38,D2,270,
f,2,-0.5,38,D2,294,
pp,1,-0.5,39,D#2,330,
pp,2,-0.5,39,D#2,349,
mp,1,-0.5,39,D#2,371,
mp,2,-0.5,39,D#2,392,
f,1,-0.5,39,D#2,413,
f,2,-0.5,39,D#2,436,
pp,1,-0.5,40,E2,474,
pp,2,-0.5,40,E2,491,
mp,1,-0.5,40,E2,505,
mp,2,-0.5,40,E2,527,
f,1,-0.5,40,E2,545,
f,2,-0.5,40,E2,571,
pp,1,-0.5,41,F2,608,
pp,2,-0.5,41,F2,625,
mp,1,-0.5,41,F2,644,
mp,2,-0.5,41,F2,670,
f,1,-0.5,41,F2,692,
f,2,-0.5,41,F2,718,
pp,1,-0.5,42,F#2,752,
pp,2,-0.5,42,F#2,774,
mp,1,-0.5,42,F#2,792,
mp,2,-0.5,42,F#2,817,
f,1,-0.5,42,F#2,842,
f,2,-0.5,42,F#2,873,
pp,1,-0.5,43,G2,907,
pp,2,-0.5,43,G2,923,
mp,1,-0.5,43,G2,938,
mp,2,-0.5,43,G2,955,
f,1,-0.5,43,G2,979,
f,2,-0.5,43,G2,1000,
pp,1,-0.5,44,G#2,1040,
pp,2,-0.5,44,G#2,1056,
mp,1,-0.5,44,G#2,1075,
mp,2,-0.5,44,G#2,1094,
f,1,-0.5,44,G#2,1116,
f,2,-0.5,44,G#2,1140,
pp,1,-0.5,45,A2,1175,d
pp,1,-0.5,45,A2,1186,
pp,2,-0.5,45,A2,1202,
mp,1,-0.5,45,A2,1218,
mp,2,-0.5,45,A2,1243,
f,1,-0.5,45,A2,1263,
f,2,-0.5,45,A2,1288,
pp,1,-0.5,46,A#2,1323,
pp,2,-0.5,46,A#2,1343,
mp,1,-0.5,46,A#2,1362,
mp,2,-0.5,46,A#2,1384,
f,1,-0.5,46,A#2,1405,
f,2,-0.5,46,A#2,1432,
pp,1,-0.5,47,B2,1469,
pp,2,-0.5,47,B2,1487,
mp,1,-0.5,47,B2,1506,
mp,2,-0.5,47,B2,1530,
f,1,-0.5,47,B2,1556,
f,2,-0.5,47,B2,1587,
pp,1,-0.5,48,C3,1625,
pp,2,-0.5,48,C3,1646,
mp,1,-0.5,48,C3,1664,
mp,2,-0.5,48,C3,1688,
f,1,-0.5,48,C3,1711,d
f,1,-0.5,48,C3,1737,
f,2,-0.5,48,C3,1761,
pp,1,-0.5,49,C#3,1795,d
pp,1,-0.5,49,C#3,1810,
pp,2,-0.5,49,C#3,1827,
mp,1,-0.5,49,C#3,1843,
mp,2,-0.5,49,C#3,1865,
f,1,-0.5,49,C#3,1890,
f,2,-0.5,49,C#3,1914,
pp,1,-0.5,50,D3,1946,
pp,2,-0.5,50,D3,1964,
mp,1,-0.5,50,D3,1981,
mp,2,-0.5,50,D3,2004,
f,1,-0.5,50,D3,2026,
f,2,-0.5,50,D3,2048,
pp,1,-0.5,51,D#3,2081,
pp,2,-0.5,51,D#3,2099,
mp,1,-0.5,51,D#3,2117,
mp,2,-0.5,51,D#3,2136,
f,1,-0.5,51,D#3,2159,
f,2,-0.5,51,D#3,2186,
pp,1,-0.5,52,E3,2217,
pp,2,-0.5,52,E3,2237,
mp,1,-0.5,52,E3,2257,
mp,2,-0.5,52,E3,2281,
f,1,-0.5,52,E3,2305,
f,2,-0.5,52,E3,2327,
pp,1,-0.5,53,F3,2369,
pp,2,-0.5,53,F3,2387,
mp,1,-0.5,53,F3,2405,
mp,2,-0.5,53,F3,2428,
f,1,-0.5,53,F3,2450,
f,2,-0.5,53,F3,2473,
pp,1,-0.5,54,F#3,2509,
pp,2,-0.5,54,F#3,2530,
mp,1,-0.5,54,F#3,2550,
mp,2,-0.5,54,F#3,2573,
f,1,-0.5,54,F#3,2594,
f,2,-0.5,54,F#3,2619,
pp,1,-0.5,55,G3,2656,
pp,2,-0.5,55,G3,2676,
mp,1,-0.5,55,G3,2692,
mp,2,-0.5,55,G3,2712,
f,1,-0.5,55,G3,2736,
f,2,-0.5,55,G3,2772,
pp,1,-0.5,56,G#3,2818,
pp,2,-0.5,56,G#3,2837,
mp,1,-0.5,56,G#3,2858,
mp,2,-0.5,56,G#3,2881,
f,1,-0.5,56,G#3,2904,
f,2,-0.5,56,G#3,2931,
pp,1,-0.5,57,A3,2969,
pp,2,-0.5,57,A3,2984,
mp,1,-0.5,57,A3,3002,
mp,2,-0.5,57,A3,3023,
f,1,-0.5,57,A3,3043,
f,2,-0.5,57,A3,3065,
pp,1,-0.5,58,A#3,3099,
pp,2,-0.5,58,A#3,3115,
mp,1,-0.5,58,A#3,3131,
mp,2,-0.5,58,A#3,3152,
f,1,-0.5,58,A#3,3172,
f,2,-0.5,58,A#3,3194,
pp,1,-0.5,59,B3,3239,
pp,2,-0.5,59,B3,3259,
mp,1,-0.5,59,B3,3277,
